"name","abbraviation"
"กระบี่","KBI"
"กาญจนบุรี","KRI"
"กาฬสินธุ์","KSN"
"กำแพงเพชร","KPT"
"ขอนแก่น","KKN"
"จันทบุรี","CTI"
"ฉะเชิงเทรา","CCO"
"ชลบุรี","CBI"
"ชัยนาท","CNT"
"ชัยภูมิ","CPM"
"ชุมพร","CPN"
"เชียงราย","CRI"
"เชียงใหม่","CMI"
"ตรัง","TRG"
"ตราด","TRT"
"ตาก","TAK"
"นครนายก","NYK"
"นครปฐม","NPT"
"นครพนม","NPM"
"นครราชสีมา","NMA"
"นครศรีธรรมราช","NST"
"นครสวรรค์","NSN"
"นนทบุรี","NBI"
"นราธิวาส","NWT"
"น่าน","NAN"
"บึงกาฬ","BKN"
"บุรีรัมย์","BRM"
"ปทุมธานี","PTE"
"ประจวบคีรีขันธ์","PKN"
"ปราจีนบุรี","PRI"
"ปัตตานี","PTN"
"พะเยา","PYO"
"พระนครศรีอยุธยา","AYA"
"พังงา","PNA"
"พัทลุง","PLG"
"พิจิตร","PCT"
"พิษณุโลก","PLK"
"เพชรบุรี","PBI"
"เพชรบูรณ์","PNB"
"แพร่","PRE"
"ภูเก็ต","PKT"
"มหาสารคาม","MKM"
"มุกดาหาร","MDH"
"แม่ฮ่องสอน","MSN"
"ยโสธร","YST"
"ยะลา","YLA"
"ร้อยเอ็ด","RET"
"ระนอง","RNG"
"ระยอง","RYG"
"ราชบุรี","RBR"
"ลพบุรี","LRI"
"ลำปาง","LPG"
"ลำพูน","LPN"
"เลย","LEI"
"ศรีสะเกษ","SSK"
"สกลนคร","SNK"
"สงขลา","SKA"
"สตูล","STN"
"สมุทรปราการ","SPK"
"สมุทรสงคราม","SKM"
"สมุทรสาคร","SKN"
"สระแก้ว","SKW"
"สระบุรี","SRI"
"สิงห์บุรี","SBR"
"สุโขทัย","STI"
"สุพรรณบุรี","SPB"
"สุราษฎร์ธานี","SNI"
"สุรินทร์","SRN"
"หนองคาย","NKI"
"หนองบัวลำภู","NBP"
"อ่างทอง","ATG"
"อำนาจเจริญ","ACR"
"อุดรธานี","UDN"
"อุตรดิตถ์","UTT"
"อุทัยธานี","UTI"
"อุบลราชธานี","UBN"
"กรุงเทพมหานคร","BKK"